pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,src_port,dst_port,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps
1,66,1722031234474992,240738304,1722031234715730.2,1,1,1.0,66.0,5.80709559641105e-10,1,TCP,80,48824,66,66,0.528,0.528,1.056
2,46,1722031234782264,244244480,1722031235026508.5,2,1,1.0,23.0,1.1614191190726064e-09,1,,0,0,46,46,0.368,0.368,0.736
3,90,1722031241642720,897889536,1722031242540609.5,3,1,1.0,30.0,1.7421286710071132e-09,1,TCP,443,33514,90,90,0.72,0.72,1.44
4,66,1722031241642768,899277824,1722031242542045.8,4,1,1.0,16.5,2.322838228007547e-09,1,TCP,33514,443,66,66,0.528,0.528,1.056
5,94,1722031241642970,900584960,1722031242543555.0,5,1,1.0,18.8,2.903547785006889e-09,1,TCP,33514,443,94,94,0.752,0.752,1.504
6,66,1722031241745066,435468288,1722031242180534.2,6,1,1.0,11.0,3.4842573427427815e-09,1,TCP,443,33514,66,66,0.528,0.528,1.056
7,46,1722031244681221,30429184,1722031244711650.2,7,1,1.0,6.571428571428571,4.064966893891715e-09,1,,0,0,46,46,0.368,0.368,0.736
8,308,1722031244935346,539308288,1722031245474654.2,8,1,1.0,38.5,4.645676448103536e-09,1,TCP,56018,443,308,308,2.464,2.464,4.928
9,330,1722031245329058,83200000,1722031245412258.0,9,1,1.0,36.666666666666664,5.226386004305852e-09,1,TCP,443,56018,330,330,2.64,2.64,5.28
10,66,1722031245329105,86898432,1722031245416003.5,10,1,1.0,6.6,5.8070955603272045e-09,1,TCP,56018,443,66,66,0.528,0.528,1.056
11,304,1722031252595832,313581056,1722031252909413.0,11,1,1.0,27.636363636363637,6.3878050885634254e-09,1,UDP,1900,1900,304,304,2.432,2.432,4.864
12,313,1722031252600050,315945984,1722031252915996.0,12,1,1.0,26.083333333333332,6.9685146420425525e-09,1,UDP,1900,1900,313,313,2.504,2.504,5.008
13,376,1722031252600050,318156544,1722031252918206.5,13,1,1.0,28.923076923076923,7.549224195536408e-09,1,UDP,1900,1900,376,376,3.008,3.008,6.016
14,368,1722031252600050,320297216,1722031252920347.2,14,1,1.0,26.285714285714285,8.129933749029102e-09,1,UDP,1900,1900,368,368,2.944,2.944,5.888
15,313,1722031252600050,322276352,1722031252922326.2,15,1,1.0,20.866666666666667,8.71064330252117e-09,1,UDP,1900,1900,313,313,2.504,2.504,5.008
16,352,1722031252600050,323924480,1722031252923974.5,16,1,1.0,22.0,9.291352856013689e-09,1,UDP,1900,1900,352,352,2.816,2.816,5.632
17,384,1722031252600050,325457408,1722031252925507.5,17,1,1.0,22.58823529411765,9.872062409505755e-09,1,UDP,1900,1900,384,384,3.072,3.072,6.144
18,313,1722031252600050,326605568,1722031252926655.5,18,1,1.0,17.38888888888889,1.0452771962999125e-08,1,UDP,1900,1900,313,313,2.504,2.504,5.008
19,372,1722031252603859,327898368,1722031252931757.2,19,1,1.0,19.57894736842105,1.1033481516466388e-08,1,UDP,1900,1900,372,372,2.976,2.976,5.952
20,378,1722031252603859,328868352,1722031252932727.2,20,1,1.0,18.9,1.1614191069958076e-08,1,UDP,1900,1900,378,378,3.024,3.024,6.048
21,366,1722031252701552,329660160,1722031253031212.2,21,1,1.0,17.428571428571427,1.219490062275854e-08,1,UDP,1900,1900,366,366,2.928,2.928,5.856
22,372,1722031252701552,330325504,1722031253031877.5,22,1,1.0,16.90909090909091,1.2775610176218297e-08,1,UDP,1900,1900,372,372,2.976,2.976,5.952
23,105,1722031256226459,489023488,1722031256715482.5,23,1,1.0,4.565217391304348,1.33563197011122e-08,1,TCP,46098,443,105,105,0.84,0.84,1.68
24,66,1722031256285849,994751488,1722031257280600.5,24,1,1.0,2.75,1.3937029248760762e-08,1,TCP,443,46098,66,66,0.528,0.528,1.056
25,105,1722031256285849,999277312,1722031257285126.2,25,1,1.0,4.2,1.4517738800754307e-08,1,TCP,443,46098,105,105,0.84,0.84,1.68
26,66,1722031256329195,3093760,1722031256332288.8,26,1,1.0,2.5384615384615383,1.509844836113878e-08,1,TCP,46098,443,66,66,0.528,0.528,1.056
27,308,1722031260941466,638125056,1722031261579591.0,27,1,1.0,11.407407407407407,1.567915786571339e-08,1,TCP,56018,443,308,308,2.464,2.464,4.928
28,334,1722031261303771,639979264,1722031261943750.2,28,1,1.0,11.928571428571429,1.6259867412856884e-08,1,TCP,443,56018,334,334,2.672,2.672,5.344
29,66,1722031261303824,641630464,1722031261945454.5,29,1,1.0,2.2758620689655173,1.684057696329939e-08,1,TCP,56018,443,66,66,0.528,0.528,1.056
30,106,1722031270493860,168554752,1722031270662414.8,30,1,1.0,3.533333333333333,1.7421286425571054e-08,1,UDP,546,547,106,106,0.848,0.848,1.696
